"Artist and Title","Days","Pk","(x?)","Total","Today"
"Ed Sheeran - Azizam","247","2","(x6)","2,229,490","193"
"Meduza, Becky Hill & GOODBOYS - Lose Control","320","10","","2,219,842","0"
"ANNA ASTI - Царица","805","53","","2,211,747","897"
"Rosa Linn - SNAP","351","8","","2,207,839","0"
"Jonas Blue - Rise","251","9","","2,205,998","0"
"HUGEL, Topic & Arash - I Adore You","475","19","","2,196,597","1,377"
"Acraze - Do It To It","269","6","","2,190,149","0"
"Chris Rea - Driving Home For Christmas","327","11","","2,186,283","0"
"Bobby Helms - Jingle Bell Rock","290","5","","2,175,475","0"
"Imagine Dragons - Natural","272","9","","2,159,377","0"
"Tom Walker - Leave a Light On","369","22","","2,157,053","0"
"Drake - Toosie Slide","169","1","(x5)","2,153,676","0"
"Ariana Grande - positions","205","1","(x21)","2,150,367","0"
"Portugal. The Man - Feel It Still","319","26","","2,149,426","6"
"Natasha Bedingfield - Unwritten","317","3","(x1)","2,148,952","118"
"SZA - Kill Bill","265","6","","2,142,679","0"
"Taylor Swift - Opalite","206","2","(x12)","2,134,601","7,141"
"Post Malone - Psycho","216","2","(x5)","2,132,958","0"
"Mark Ambor - Belong Together","427","17","","2,126,431","0"
"Travis Scott - FEN","442","2","(x4)","2,121,317","0"
"David Guetta - 2U","190","4","","2,119,672","0"
"Ravyn Lenae - Love Me Not","392","11","","2,113,919","3,413"
"Ninho - Goutte d’eau","606","39","","2,112,497","0"
"Fleetwood Mac - Go Your Own Way","458","47","","2,107,317","1,068"
"Ava Max - Kings & Queens","348","14","","2,106,372","0"
"Rita Ora - Let You Love Me","224","5","","2,100,416","0"
"Loud Luxury - Body","356","23","","2,096,740","0"
"Pedro Capó & Farruko - Calma","289","15","","2,088,274","0"
"Justin Bieber & BloodPop® - Friends","221","1","(x3)","2,084,297","0"
"Nicky Jam & J Balvin - X","218","8","","2,073,033","0"
"Burna Boy - Last Last","470","10","","2,070,278","0"
"Oasis - Wonderwall","289","14","","2,068,626","991"
"Lady Gaga - Always Remember Us This Way","402","19","","2,061,695","0"
"Billie Eilish - ocean eyes","422","21","","2,056,269","1,302"
"Gigi Perez - Sailor Song","299","10","","2,055,498","0"
"KAROL G & Nicki Minaj - Tusa","345","18","","2,048,572","0"
"GIMS & DYSTINCT - SPIDER","510","32","","2,046,244","659"
"Sam Smith - Too Good at Goodbyes","189","5","","2,043,417","17"
"Artik & Asti - Девочка танцуй","168","63","","2,040,302","501"
"Ninho - Dis-moi que tu m'aimes","626","89","","2,029,522","1,648"
"Jason Derülo - Take You Dancing","294","10","","2,024,703","0"
"sombr - 12 to 12","272","5","","2,021,077","6,981"
"Artik & Asti - Гармония","360","57","","2,020,808","654"
"Jonas Blue - Mama","204","7","","2,002,986","0"
"Zedd, Maren Morris & Grey - The Middle","232","7","","1,998,616","0"
"Ayra Starr - Rush","355","14","","1,994,268","0"
"Arizona Zervas - Roxanne","218","8","","1,991,073","0"
"Drake - One Dance","331","22","","1,989,176","434"
"Kendrick Lamar, SZA - All The Stars","240","4","","1,971,340","0"
"Zivert - Beverly Hills","198","77","","1,958,969","808"
"Journey - Don't Stop Believin'","432","27","","1,957,644","3,691"
"Maroon 5 - What Lovers Do","216","9","","1,947,785","0"
"Miley Cyrus - Midnight Sky","235","8","","1,945,774","0"
"Taylor Swift - Fortnight","223","1","(x8)","1,943,429","0"
"MACAN - ASPHALT 8","624","48","","1,943,098","687"
"Bizarrap & Quevedo - Quevedo: Bzrp Music Sessions, Vol. 52","485","29","","1,942,822","0"
"Booba & SDM - Dolce Camara","698","30","","1,940,944","782"
"Eminem - Without Me","405","38","","1,934,303","418"
"Meduza - Paradise","270","7","","1,926,781","0"
"Lizzo - About Damn Time","253","4","","1,926,738","0"
"Tate McRae - Sports car","349","10","","1,926,475","30"
"WizTheMc & bees & honey - Show Me Love","246","8","","1,925,693","838"
"Dean Martin - Let It Snow Let It Snow Let It Snow","262","8","","1,923,758","0"
"Band Aid - Do They Know It's Christmas","315","8","","1,917,408","0"
"Tiakola - Meuda","313","46","","1,913,535","942"
"5 Seconds of Summer - Youngblood","308","24","","1,904,677","0"
"SDM - CARTIER SANTOS","580","34","","1,899,994","1,869"
"Zara Larsson - Lush Life","169","6","","1,894,063","12,311"
"Aya Nakamura - Pookie","478","25","","1,884,107","0"
"Ninho - Maman ne le sait pas","286","38","","1,881,556","0"
"G-Eazy & Halsey - Him & I","191","5","","1,874,398","0"
"David Guetta, Becky Hill & Ella Henderson - Crazy What Love Can Do","321","12","","1,874,192","0"
"Coldplay - Yellow","305","26","","1,869,756","330"
"Billie Eilish - What Was I Made For","274","2","(x4)","1,866,324","0"
"Gazo - DIE","519","27","","1,863,611","0"
"Ofenbach - Wasted Love","393","16","","1,863,200","0"
"Coldplay - A Sky Full of Stars","373","23","","1,854,674","141"
"Dua Lipa - Training Season","193","3","(x4)","1,850,279","0"
"Drake - Nice For What","218","3","(x2)","1,849,929","0"
"Zivert - Зелёные волны","152","106","","1,849,882","598"
"Avicii - Lonely Together","237","12","","1,847,611","0"
"Bennett - Vois sur ton chemin","370","13","","1,843,704","0"
"Brenda Lee - Rockin' Around the Christmas Tree","274","7","","1,830,265","0"
"CYRIL - Stumblin' In","315","18","","1,829,621","0"
"Sam Smith & Normani - Dancing with a Stranger","222","6","","1,825,733","0"
"Jungeli, Imen Es & Alonzo - Petit génie","420","26","","1,825,301","0"
"GIMS - CIEL","506","32","","1,824,967","1,781"
"Shawn Mendes - There's Nothing Holdin' Me Back","210","10","","1,821,185","0"
