"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Kendji Girac - Elle m'a aimé","21","","79","","55,328","781,231"
"Baby K - Roma - Bangkok","11","","142","","75,831","780,809"
"Alonzo - Ils le savent","6","","38","","227,529","780,724"
"Werenoi - Titanic","1","","77","","780,380","780,380"
"Makassy - Doucement","13","","70","","88,720","780,003"
"Marwa Loud - Gâché","3","","59","","359,647","779,858"
"Jul - T'as tout gagné","2","","65","","494,644","779,752"
"Leto - Truc en moi","2","","86","","493,136","779,575"
"Lynda - Le coeur ou la raison","2","","168","","397,255","778,854"
"Vald - Echelon 2","2","","89","","426,647","778,787"
"MMZ - S Line","3","","116","","296,140","778,282"
"DTF - Comme un fou","7","","146","","183,309","778,158"
"Django - Fichu","6","","159","","143,640","777,773"
"Pitbull - We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song]","8","","11","","135,452","777,077"
"Morad - María","2","","171","","392,877","776,887"
"Kaaris - C'est nous les O.G","1","","48","","775,947","775,947"
"Michou - M2LT","2","","103","","463,695","775,942"
"Soolking - Bambina","2","","55","","510,284","775,481"
"Lorenzo - Les OVNI","2","","28","","512,796","775,157"
"Michael Bublé - Cold December Night","1","","83","","774,813","774,813"
"A R I Z O N A - I Was Wrong - Robin Schulz Remix","9","","136","","93,909","774,217"
"Robin Schulz - Heatwave","9","","91","","127,692","774,140"
"Meryem Aboulouafa - Breath of Roma","2","","198","","391,744","774,112"
"Tyler, The Creator - EARFQUAKE","3","","157","","277,861","774,091"
"Fergie - L.A.LOVE (la la)","21","","82","","46,480","773,915"
"Jul - C'est ça la vie","2","","81","","481,635","773,222"
"Kalash Criminel - Dans la fosse","2","","44","","528,633","773,186"
"SCH - Batterie vide","1","","80","","772,775","772,775"
"GP Explorer - Thunes","1","","72","","772,020","772,020"
"Lartiste - Zarzour","2","","186","","395,571","771,953"
"GIMS - Tu reviendras","3","","75","","355,728","771,808"
"Zkr - Comme un junkie","2","","70","","500,114","771,557"
"Ninho - Loin d'eux","1","","75","","771,348","771,348"
"BTS - Life Goes On","2","","76","","489,254","771,155"
"Kygo - Raging","8","","89","","120,164","771,029"
"USKY - 3.5.7","2","","181","","396,035","770,802"
"Werenoi - Je suis en moto","1","","69","","770,710","770,710"
"Thomston - Collarbones","24","","127","","69,679","770,558"
"Dadju - #PTD","3","","72","","360,547","770,337"
"Sam's - Mec de mon bâtiment","2","","97","","430,972","770,334"
"Zkr - Sourire de millionaire","2","","73","","492,054","770,239"
"Booba - CVBSP","1","","70","","770,042","770,042"
"Timal - Du rire aux larmes","3","","62","","360,638","769,941"
"Maes - Le Moine","1","","62","","769,917","769,917"
"Johnny Hallyday - Allumer le feu","3","","65","","396,929","769,802"
"SCH - Himalaya","6","","36","","260,517","769,703"
"AM La Scampia - Bingo","1","","43","","768,813","768,813"
"Cardi B - Please Me","3","","145","","281,781","768,553"
"Jul - Burberry","2","","85","","465,184","768,483"
"Koba LaD - Synthèse","1","","57","","767,981","767,981"
"Zola - GORGÉE POUR LES MORTS","1","","56","","767,509","767,509"
"Jul - Sangoten","2","","64","","496,772","766,545"
"Shakira - Clandestino","4","","163","","216,320","766,463"
"Vald - LETHARGIE","1","","62","","766,056","766,056"
"Nahir - Moneygram","2","","70","","463,194","765,993"
"Ziak - Lauiss","1","","49","","765,194","765,194"
"Soso Maness - Zodiaque","2","","90","","449,592","764,883"
"ALP - Pause","2","","42","","526,481","764,583"
"Indila - Tourner Dans Le Vide","12","","15","","86,045","763,508"
"Kekra - Numéro 9","2","","96","","457,148","763,355"
"Vladimir Cauchemar - Brrr","2","","79","","451,790","763,088"
"Laufey - Winter Wonderland","1","","86","","762,131","762,131"
"404Billy - RVRE","2","","75","","476,421","762,022"
"Gotye - Somebody That I Used To Know","33","","47","","39,642","761,944"
"DTF - Je t'emmène","2","","102","","446,297","761,557"
"USHER - I Don't Mind","18","","73","","67,090","761,056"
"Georgio - Froid","2","","152","","408,106","759,747"
"Dinos - CTRL + V","1","","46","","759,596","759,596"
"Landy - Association de malfaiteurs","2","","60","","460,316","759,587"
"GIMS - Entre nous c'est mort","3","","64","","368,197","759,560"
"Jul - Pocahontas","3","","149","","281,515","759,209"
"Green Montana - CHAQUE JOUR DE LA SEMAINE","2","","82","","464,152","759,065"
"Timal - Interlude","2","","74","","492,471","758,918"
"Hillsong UNITED - Touch The Sky","15","","71","","78,825","758,613"
"Tiësto - Secrets","17","","60","","71,038","758,201"
"4Keus - Lunettes quartier","2","","95","","420,792","758,118"
"Lil Baby - Yes Indeed","4","","147","","196,563","757,336"
"Lacrim - Philippins - Extrait de la compile Cercle Fermé","2","","64","","452,487","757,321"
"Anne-Marie - Ciao Adios","4","","95","","216,290","756,633"
"Damso - Débrouillard","8","","108","","135,749","756,361"
"91 All Stars - Gang-gang","2","","79","","423,174","755,606"
"Travis Scott - DELRESTO (ECHOES)","1","","59","","755,321","755,321"
"Drake - Papi’s Home","1","","33","","755,101","755,101"
"Dinos - GAÙCHO","1","","79","","754,939","754,939"
"Djadja & Dinaz - Favela","3","","104","","286,595","754,521"
"Mister V - On y est","1","","62","","753,978","753,978"
"Lil Pump - Butterfly Doors","3","","134","","283,895","753,818"
"S.Pri Noir - Fusée Ariane","4","","132","","214,360","753,268"
"Zola - Cache Cash","1","","36","","752,502","752,502"
"Timal - Flics & stups","3","","72","","343,894","752,153"
"Meghan Trainor - Lips Are Movin","19","","71","","53,181","751,537"
"Guy2Bezbar - ON DÉGAINE","2","","144","","397,472","751,360"
"Bad Bunny - Moscow Mule","2","","125","","386,183","750,745"
"Luv Resval - Cette fille","2","","105","","413,806","749,697"
"ZAYN - LIKE I WOULD","8","","79","","123,883","748,985"
"SDM - Gâchette","2","","130","","413,472","748,558"
"Gambino La MG - La promo","2","","93","","427,209","748,125"
"Kaaris - Mandalorian","1","","51","","747,298","747,298"
"Timal - Nos vies","2","","84","","472,656","746,423"
"Timal - Magma - Interlude","3","","69","","343,413","746,400"
"Lacrim - Nipsey Hussle","1","","42","","746,224","746,224"
"Orelsan - CP_001_ Intro Civilisation Perdue","1","","44","","745,548","745,548"
"Laylow - Tu Veux Déjà Me Dire Aurevoir ?","1","","55","","745,244","745,244"
"Jul - Y'a plus de reconnaissance","1","","81","","744,921","744,921"
"Dinos - CHELSEA","1","","82","","744,662","744,662"
"Moha La Squale - On roule","2","","74","","458,416","744,420"
"Olivia Rodrigo - bad idea right?","2","","149","","401,180","744,011"
"Laylow - Bonsoir Mon Vieil Ami","1","","56","","743,689","743,689"
"Tiakola - FAST LIFE & FAMILLE","1","","78","","743,682","743,682"
"Josef Salvat - Diamonds","14","","32","","91,609","743,163"
"Kekra - Putain de salaire","2","","115","","372,436","743,146"
"Soso Maness - 3x filtré","2","","84","","475,957","742,948"
"PNL -","2","","22","","405,156","741,870"
"Landy - Rentabiliser","2","","155","","435,524","741,828"
"Khalid - Better","3","","157","","284,566","741,729"
"Gringe - Déchiré","2","","64","","473,856","741,203"
"Travis Scott - GOD'S COUNTRY","1","","62","","741,135","741,135"
"George Ezra - Blame It on Me","16","","86","","67,535","740,992"
