"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Kaaris - Château noir","7","1","6","","1,190,806","4,046,690"
"Jul - Beuh magique","9","","35","","744,736","4,046,133"
"Damso - Aux paradis","8","","11","","1,595,828","4,042,999"
"Arcane - The Line (from the series Arcane League of Legends)","7","","58","","897,453","4,042,406"
"BSF - On Va Taper ÇA","6","","40","","917,759","4,038,008"
"Niro - Fils 2","8","","36","","700,788","4,037,420"
"PLK - La nuit","5","","20","","1,295,464","4,037,012"
"Maroon 5 - Animals","41","11","5","","181,250","4,035,658"
"Nekfeu - Nekketsu","15","1","10","","789,919","4,033,923"
"PLK - EA7","5","","30","","1,121,751","4,029,311"
"Ninho - 44","11","","12","","944,130","4,021,745"
"S.Pri Noir - Skywalker","27","","125","","167,197","4,019,894"
"PLK - Waow","11","","24","","787,250","4,017,347"
"Justin Bieber - Beauty And A Beat","3","","11","","1,640,737","4,015,261"
"P!nk - All Out Of Fight","9","","119","","514,768","4,014,279"
"Hornet La Frappe - Double h","26","","105","","182,804","4,008,193"
"Céline Dion - J'irai où tu iras","8","","74","","610,438","4,004,988"
"Werenoi - C63","5","","38","","1,129,747","4,003,760"
"RIDSA - Là c'est die","26","","19","","301,042","4,003,685"
"Kalash - Rouge et bleu","29","","32","","248,541","4,001,352"
"Kore - Pas bien - Extrait de la BO de « En Passant Pécho »","8","","35","","694,962","3,987,914"
"Damso - Perplexe","9","","14","","1,465,997","3,983,165"
"Robin Thicke - Blurred Lines","77","23","1","(x2)","137,859","3,980,345"
"Booba - KOA","6","1","10","","1,349,488","3,972,781"
"Louane - On était beau","17","","68","","292,573","3,972,182"
"Booba - CAVALIERO","9","","41","","893,614","3,966,679"
"Eva - Kitoko","12","","96","","360,410","3,963,570"
"Jul - Ça sent bon","9","","17","","1,186,117","3,959,586"
"SCH - Bénéfice","10","","30","","680,036","3,951,839"
"Laylow - STUNTMEN","9","","18","","1,185,755","3,950,320"
"Booba - Vue sur la mer","4","1","6","","2,287,718","3,948,858"
"Moha K - Elle (pt.1)","10","","59","","521,107","3,946,711"
"La Mano 1.9 - Business Man","6","","67","","823,486","3,946,157"
"Vladimir Cauchemar - Elévation","10","","56","","736,131","3,944,212"
"Matt Simons - We Can Do Better","13","","78","","397,347","3,944,159"
"Sheck Wes - Mo Bamba","15","","123","","306,106","3,944,098"
"Heuss L'enfoiré - Canada","8","","27","","757,997","3,944,075"
"DJ Hamida - Ma bébé (Mi amor)","5","","19","","1,094,292","3,942,800"
"Nekfeu - Sous les nuages","10","","32","","912,318","3,941,877"
"GIMS - Soleil","4","","35","","1,047,367","3,941,072"
"Werenoi - Animal","5","","20","","1,463,769","3,939,751"
"Booba - RST","4","1","7","","2,257,716","3,939,056"
"Niska - Commando","20","","83","","235,293","3,931,602"
"DJ Khaled - No Brainer","9","","42","","535,516","3,929,862"
"Nekfeu - Reuf","48","","24","","186,258","3,927,326"
"13 Organisé - Je suis Marseille","7","","13","","1,257,818","3,921,132"
"Dosseh - Tout est neuf","13","","26","","517,696","3,921,052"
"Axwell /\ Ingrosso - Dreamer","13","","84","","344,243","3,920,164"
"PLK - 7/7","5","","11","","1,303,220","3,915,979"
"Nekfeu - Pixels","5","","21","","1,688,312","3,915,172"
"Rémy - Bella Ciao - Bonus track","11","","37","","488,299","3,908,921"
"Lana Del Rey - Summertime Sadness","11","","167","","379,410","3,893,908"
"Black Eyed Peas - I Gotta Feeling","10","","99","","575,311","3,887,227"
"TK - Stevez","10","","31","","839,742","3,885,615"
"Zola - Mojo","9","","27","","1,215,279","3,884,835"
"DJ Snake - Disco Maghreb","8","","74","","626,455","3,884,318"
"Soolking - Tiki Taka","7","","51","","843,953","3,874,276"
"Nekfeu - Egérie","38","","16","","392,502","3,870,442"
"TK - Dans La Gova","8","","123","","526,104","3,868,806"
"Benson Boone - Sorry I'm Here For Someone Else","7","","105","","611,114","3,866,917"
"Iggy Azalea - Fancy","45","6","6","","150,541","3,866,191"
"Luidji - Monde","9","","178","","448,307","3,858,793"
"JAŸ-Z - Ni**as In Paris","76","","93","","91,651","3,857,443"
"Soprano - Fresh Prince","41","7","6","","172,609","3,854,058"
"Nekfeu - 1er rôle","5","","22","","1,637,831","3,853,604"
"Soolking - Bye Bye","9","","64","","572,572","3,853,535"
"Larry - Block","6","","31","","830,484","3,853,340"
"Vald - Primitif","10","1","3","(x1)","1,127,411","3,851,879"
"Era Istrefi - Bonbon","20","","13","","362,002","3,848,150"
"Timal - La beu beu","8","","33","","745,846","3,841,919"
"Zola - Papel","9","","33","","907,228","3,836,070"
"Kids United - On écrit sur les murs","37","","52","","161,305","3,835,817"
"Booba - Bonne journée","4","1","8","","2,233,733","3,835,239"
"Echosmith - Cool Kids","49","","21","","128,713","3,834,759"
"Jul - Battitsu","7","","39","","936,818","3,831,144"
"DA Uzi - La vraie vie","12","","35","","539,596","3,824,825"
"Gambi - Tentation","5","","30","","1,220,756","3,822,879"
"Lomepal - Crystal","7","","22","","1,211,220","3,822,562"
"Marwa Loud - Calma","17","","89","","331,120","3,820,398"
"OneRepublic - Didn't I","11","","118","","415,089","3,814,613"
"Galantis - Heartbreak Anthem","11","","83","","429,281","3,812,081"
"Jul - Professor","8","","34","","1,019,052","3,809,121"
"OBOY - No blata","10","","47","","657,075","3,804,192"
"Jul - Corazon","6","","40","","978,725","3,802,428"
"Amir - J'ai cherché","22","","34","","284,811","3,796,791"
"Tame Impala - Dracula","8","","144","","520,042","3,793,947"
"Nono La Grinta - J'tavais dis","8","","159","","509,747","3,785,441"
"Maes - MAGIE","8","","161","","518,251","3,785,086"
"PNL - Kratos","19","","14","","641,991","3,785,010"
"Booba - DKR - Bonus Track","11","","17","","985,276","3,783,537"
"Maes - Platine o Plomo","5","1","7","","1,770,862","3,781,574"
"Booba - DD","7","","54","","774,512","3,780,549"
"Damso - FAIS ÇA BIEN","5","","16","","1,880,735","3,779,534"
"Nicky Jam - Live It Up - Official Song 2018 FIFA World Cup Russia","10","","26","","616,512","3,778,478"
"Kerchak - Roule un autre - A COLORS SHOW","6","","27","","834,961","3,776,804"
"Jnr Slice - A La Tess","8","","48","","654,579","3,773,559"
"RK - Indiana","7","","51","","667,773","3,765,391"
"Joel Corry - BED","10","","92","","420,976","3,762,220"
"Zaho - Laissez-les kouma","26","","58","","207,137","3,758,810"
"TRIANGLE DES BERMUDES - À l'aise","4","","21","","1,308,505","3,758,309"
"Rihanna - Needed Me","28","","60","","156,355","3,758,033"
"Zola - NOCHEY","5","1","9","","1,391,444","3,756,880"
"Jul - Poussette","10","","28","","777,899","3,747,206"
"Kygo - What's Love Got to Do with It","11","","119","","379,212","3,745,007"
"Naza - Faut pardonner","7","","34","","777,085","3,742,455"
"Damso - William","8","","12","","1,491,772","3,742,305"
"Travis Scott - K-POP","6","","23","","1,047,366","3,738,430"
"Damso - Χ. ZWAAR","5","","15","","1,454,889","3,731,693"
"Jason Derulo - Tip Toe","14","","100","","318,923","3,729,090"
"kulturr - jaloux fâché","7","","93","","596,486","3,728,491"
"Jul - 2 coups d'avance","5","","20","","1,377,609","3,728,304"
"Tryo - Désolé pour hier soir XXV - Remix 2020","10","","85","","450,191","3,726,495"
"Booba - Terrain","8","","11","","1,365,092","3,725,998"
"Soso Maness - Puta madre","7","","28","","973,931","3,715,891"
"Tove Lo - Cool Girl","21","","55","","232,833","3,715,209"
"PLK - Le cœur des hommes","4","","17","","1,406,765","3,707,967"
"Vegedream - La rue","18","","104","","262,886","3,702,744"
"SKG - Casa de papel","13","","50","","382,793","3,702,315"
"Billie Eilish - bad guy","9","","54","","540,702","3,701,327"
"Eloïz - Hey Bro","8","","82","","511,038","3,697,007"
"Lorenzo - Power Rangers","8","","12","","1,004,586","3,694,805"
"Damso - Noir meilleur","8","","15","","1,417,162","3,693,122"
"GIMS - Le pire","10","","63","","445,293","3,687,395"
"PLK - Façon d'penser","4","","14","","1,434,190","3,684,864"
"Bosh - Coeur Noir","10","","60","","603,108","3,682,028"
"Freeze corleone - Scellé part.2","5","","12","","1,482,313","3,681,593"
"Ninho - Ce soir","11","","12","","922,248","3,681,525"
"¥$ - CARNIVAL","8","","110","","520,770","3,679,805"
"Kelly Clarkson - Underneath the Tree","6","","49","","991,488","3,673,118"
"Niska - H&M","10","","19","","912,516","3,668,939"
"Topic - Kernkraft 400 (A Better Day)","9","","113","","471,157","3,667,965"
"Werenoi - First","5","","32","","1,270,374","3,662,426"
"Lomepal - Etna","5","","12","","1,457,346","3,659,514"
"Werenoi - Téléphérique","5","","28","","1,287,857","3,658,048"
"Jul - La fusion","5","","17","","1,346,648","3,657,738"
"Freeze corleone - Bill Clinton","4","","15","","1,464,186","3,656,842"
"Maluma - Felices los 4","19","","58","","294,421","3,656,594"
"Damso - Ω. VIVRE UN PEU","5","","16","","1,404,547","3,653,676"
"Werenoi - Déjà vu","9","","135","","441,711","3,653,453"
"M. Pokora - Les planètes","13","","94","","389,083","3,652,305"
"Booba - Je sais","4","1","9","","2,118,379","3,651,594"
"Sia - Cheap Thrills","31","","40","","283,512","3,649,243"
"Kerchak - T'aimerais","4","","33","","983,377","3,648,662"
"Halsey - You should be sad","10","","99","","436,902","3,648,510"
"Soprano - Barman","30","","36","","214,673","3,648,215"
"Ninho - Rich Porter","4","1","7","","1,684,273","3,647,827"
"Alonzo - Bagarre","17","","54","","310,326","3,647,219"
"Shake Shake Go - England Skies","43","6","5","","200,582","3,644,609"
"Landy - Ronnie Kray","5","","30","","1,073,554","3,642,947"
"Soolking - Rockstar","10","","36","","669,377","3,642,570"
"Drake - Money In The Grave (Drake ft. Rick Ross)","12","","126","","364,430","3,637,407"
"Lorenzo - Le Daron","6","","17","","1,002,208","3,636,946"
"Ninho - DICTIONNAIRES","4","","12","","1,790,260","3,635,072"
"Carly Rae Jepsen - I Really Like You","26","","14","","217,467","3,633,314"
"Jul - Mon bébé d'amour","8","","22","","846,724","3,633,071"
"Demi Lovato - Cool for the Summer","40","","61","","295,508","3,629,360"
"SCH - Baden Baden","7","","16","","1,198,480","3,626,945"
"Michou - Fier","7","","39","","741,124","3,621,049"
"Rudimental - Let Me Live","14","","88","","359,072","3,620,495"
"Vitaa - Pas beaux","12","","143","","346,402","3,614,163"
"David Guetta - Better When You're Gone","12","","87","","482,937","3,612,089"
"Jul - Wouaw","6","","43","","996,808","3,610,376"
"Zola - Cartier Panthère","7","","43","","834,433","3,607,791"
"Mister V - Facetime","5","","14","","1,538,995","3,604,583"
"Shawn Mendes - In My Blood","14","","82","","305,160","3,603,170"
"Werenoi - Vroum Vroum","8","","70","","722,111","3,603,085"
"Damso - Laisse-moi tranquille.","3","1","9","","2,003,995","3,602,073"
"Matoma - Running Out","25","","51","","217,398","3,599,761"
"Hornet La Frappe - C'est mort","7","","46","","714,785","3,599,194"
"Soprano - Le Diable ne s'habille plus en Prada","26","","61","","203,991","3,597,493"
"Taylor Swift - Look What You Made Me Do","10","","15","","531,511","3,596,155"
"Slimane - Chez toi","9","","115","","500,550","3,596,025"
"MHD - Bravo","14","","36","","413,150","3,593,270"
"Dosseh - Canal","12","","100","","352,124","3,587,938"
"Tiësto - Ritual","10","","90","","403,401","3,586,931"
"Timal - Fuego","7","","24","","851,906","3,584,321"
"Vald - Keskivonfer","5","1","10","","1,408,108","3,582,612"
"Lacrim - Maladie","8","","17","","897,372","3,580,977"
"Ariana Grande - Stuck with U","7","","42","","648,019","3,578,750"
"Djadja & Dinaz - Alpha","6","","15","","1,118,667","3,578,440"
"Landy - Bad Boy","10","","62","","549,810","3,577,148"
"Ninho - Binks to Binks 7","7","","55","","854,652","3,576,660"
"Rilès - Thank God","19","","74","","289,192","3,575,099"
"Ninho - DES PIGES","4","","15","","1,496,792","3,574,283"
"Jul - Et je deviens fou","8","","18","","947,738","3,572,412"
"Damso - Qui m’a demandé","4","","23","","1,449,556","3,571,370"
"SDM - Franklin Saint","8","","47","","768,861","3,570,894"
"Dadju - Paire d'As","7","","12","","1,156,367","3,570,864"
"Lebeey - A La Waneguaine","7","","111","","599,539","3,567,451"
"Selah Sue - Alone","50","","33","","142,118","3,562,838"
"Landy - Cantona","7","","116","","568,413","3,561,171"
"Rim'K - Ainsi va la rue","7","","149","","537,140","3,559,435"
"PLK - Toi","4","","18","","1,386,199","3,558,576"
"RK - AQUA","9","","61","","608,469","3,556,498"
"Eddy de Pretto - LOVE'n'TENDRESSE","7","","110","","543,811","3,552,940"
"Ariana Grande - Break Free","49","5","7","","148,047","3,552,805"
"Timal - Routine","8","","42","","770,114","3,548,572"
"SDM - J'Y PENSE","4","","37","","1,267,196","3,547,541"
"Lost Frequencies - Back To You","9","","150","","461,394","3,547,264"
"DTF - Comme tu veux","27","","99","","436,976","3,544,711"
"Avicii - For A Better Day","28","","28","","231,354","3,544,527"
"Maes - Opaque","5","","37","","918,810","3,537,594"
"Moha K - DARBA 9ADIYA","9","","125","","470,615","3,537,285"
"Zed - Shaggy","4","","26","","1,407,630","3,535,797"
"Gazo - Drill FR 5","9","","60","","625,819","3,533,787"
"Sofiane - Empire","6","1","7","","1,386,011","3,533,385"
"Hatik - Adieu, mon amour","12","","110","","382,100","3,532,950"
"Naps - CŒUR DE ICE","5","","39","","987,953","3,529,260"
"Green Montana - TOUT GACHER","8","","34","","789,786","3,529,240"
"XXXTENTACION - BAD!","10","","36","","617,504","3,522,533"
"Maes - INTERPOL","7","","76","","711,332","3,522,382"
"Jul - Beuh à la noix de coco","7","","46","","765,148","3,517,118"
"Doums - Ce soir","9","","39","","721,490","3,514,900"
"Angèle - Je veux tes yeux","12","","65","","550,846","3,514,017"
"RIDSA - Pardon","30","","31","","248,011","3,513,644"
"Ninho - Skywalker Haze - A COLORS SHOW","5","","30","","1,137,694","3,509,931"
"Diplo - Get It Right","15","","94","","259,245","3,509,586"
"Davy One - Jeu De Jambes","5","","48","","822,936","3,508,030"
"Ed Sheeran - Sing","56","","11","","148,918","3,505,253"
"Maes - Mardi gras","5","","14","","1,484,184","3,503,751"
"MAGIC! - Rude","49","1","10","","140,206","3,495,395"
"Ofenbach - Rock It","12","","122","","344,380","3,491,779"
"Bigflo & Oli - Personne","22","","73","","250,655","3,486,948"
"Ninho - Millésimes","5","","24","","1,428,289","3,485,887"
"Eva - Bella","10","","43","","593,815","3,485,489"
"Zola - Ma jolie","6","1","8","","1,324,044","3,483,009"
"Lomepal - Maladie moderne","5","","16","","1,368,497","3,482,706"
"Jonas Blue - By Your Side","16","","60","","287,523","3,480,257"
"Jul - Je ne me vois pas briller","16","","35","","419,035","3,479,107"
"SDM - DRAGO MALEFOY","4","","30","","1,350,427","3,478,958"
"Guy2Bezbar - Cullinan","7","","122","","578,014","3,475,315"
"Kendrick Lamar - tv off","6","","72","","742,242","3,474,265"
"Iggy Azalea - Black Widow","36","4","9","","166,506","3,469,460"
"Avicii - Taste The Feeling (Avicii Vs. Conrad Sewell)","21","","39","","247,294","3,466,798"
"Freeze corleone - Tarkov","5","","15","","1,406,646","3,466,762"
"Damso - NMI","7","","13","","1,468,041","3,466,300"
"Ziak - Lloret de Mar","6","","20","","1,144,786","3,466,070"
"Niska - Bandit Chef","7","","44","","765,576","3,464,768"
"RIDSA - On s'est manqué","10","","63","","447,566","3,462,046"
"Djadja & Dinaz - BB","9","","44","","838,854","3,461,568"
"Jul - Brouncha","7","","17","","1,169,235","3,453,935"
"Julien Lieb - Le jeu","8","","172","","468,857","3,452,129"
"Leto - Double Bang 10","8","","19","","826,815","3,448,358"
"Jul - Je n'ai pas que des potes","6","","19","","1,085,259","3,447,597"
"Bad Bunny - CAFé CON RON","7","","90","","618,121","3,447,428"
"Chris Brown - Ayo","34","","18","","209,327","3,444,985"
"Nekfeu - Tempête","33","","11","","259,064","3,444,739"
"GIMS - DO YOU LOVE ME ?","7","","123","","544,199","3,442,473"
"TRIANGLE DES BERMUDES - Balek","4","","37","","1,026,089","3,440,944"
"Amir - Complémentaires","7","","120","","527,782","3,438,877"
"SCH - Anarchie","21","","20","","337,084","3,438,641"
"SDM - Jacque*** Bag","7","","48","","763,261","3,436,827"
"Young T & Bugsey - Don't Rush","10","","88","","382,003","3,429,420"
"David Guetta - Your Love","11","","54","","473,653","3,428,752"
"Vald - Maudit","4","1","5","","1,657,149","3,423,301"
"Hornet La Frappe - Kedaba","10","","79","","478,002","3,422,698"
"Lacrim - Tous les mêmes","9","","11","","805,405","3,420,530"
"Brenda Lee - Rockin' Around the Christmas Tree - Rerecorded Version","4","","34","","1,120,697","3,419,105"
"Natasha Bedingfield - Unwritten","7","","112","","532,611","3,418,566"
"Booba - VARIANT","6","1","10","","1,179,754","3,412,559"
"Drake - Nonstop","11","","20","","777,189","3,410,521"
"Sia - Together","11","","132","","363,278","3,407,537"
"Ninho - Boucherie","4","","17","","1,500,863","3,402,000"
"SCH - Poupée russe","13","","22","","550,471","3,401,078"
"Lacrim - Gericault","11","1","8","","886,936","3,394,537"
"Jul - Inspi d'ailleurs","9","","26","","693,330","3,391,775"
"Guy2Bezbar - Je pense à toi","7","","138","","535,609","3,391,360"
"Lorde - Green Light","13","","43","","374,028","3,390,113"
"Olly Alexander (Years & Years) - King","31","","24","","171,166","3,380,942"
"Ikaz Boi - SOLITERRIEN","7","","32","","739,437","3,380,630"
"Tkandz - NOW OR NEVER","5","","68","","740,167","3,378,248"
"Scridge - Karma","13","","133","","290,784","3,378,220"
"Macklemore & Ryan Lewis - Growing Up","18","","33","","237,295","3,377,974"
"The Avener - Quando Quando","9","","84","","480,886","3,375,240"
"Gorillaz - Feel Good Inc","8","","166","","447,538","3,374,255"
"Partenaire Particulier - Partenaire Particulier","8","","73","","610,569","3,373,852"
"Hyphen Hyphen - Just Need Your Love","26","","24","","240,765","3,373,236"
"Nekfeu - Óλά Καλά","9","","45","","836,371","3,370,431"
"RAYE - Escapism.","8","","107","","471,792","3,370,390"
"SCH - Mafia","4","","16","","1,864,922","3,368,347"
"ROSALÍA - Berghain","5","","46","","927,830","3,367,970"
"Gazo - A$AP","8","","40","","678,387","3,364,787"
"Meek Mill - Going Bad","13","","131","","285,807","3,361,679"
"Niska - Des flingues et des roses","6","","24","","1,206,838","3,360,399"
"PLK - Pourtant","5","","19","","1,365,696","3,357,189"
"L.E.J - Summer 2015","27","","18","","252,675","3,353,670"
"Vald - Trophée","12","","20","","721,635","3,353,102"
"MC YOSHI - Y a une meuf","8","","160","","453,042","3,349,751"
"RK - La patate","8","","50","","528,891","3,347,456"
"Alesso - Heroes (we could be)","38","","17","","129,950","3,346,851"
"Therapie TAXI - Candide Crush","11","","156","","337,390","3,346,563"
"SCH - Raisons","4","","15","","1,878,634","3,345,780"
"Lomepal - Le lendemain de l'orage","8","","17","","959,543","3,344,283"
"Justin Bieber - Intentions","9","","62","","535,769","3,336,532"
"XXXTENTACION - the remedy for a broken heart (why am I so in love)","10","","37","","564,928","3,336,257"
"Big Shaq - Man's Not Hot","15","","95","","269,527","3,336,021"
"Feder - Control","12","","108","","321,669","3,334,691"
"Jul - Guytoune","7","","26","","1,051,528","3,334,660"
"Lartiste - Bolingo","9","","88","","404,591","3,329,858"
"Avicii - The Nights","38","","23","","265,096","3,328,879"
"AURORA - Runaway","7","","49","","570,755","3,325,812"
"Selena Gomez - Single Soon","8","","112","","487,026","3,325,187"
"Ninho - HLM ou Palace","9","","11","","950,029","3,322,968"
"Dr. Dre - Still D.R.E.","13","","100","","421,355","3,321,339"
"Stromae - tous les mêmes","48","24","1","(x2)","148,540","3,321,249"
"Nekfeu - O.D","13","","11","","748,557","3,316,662"
"Harry Styles - Sign of the Times","18","","37","","394,490","3,316,393"
"BTS - Butter","7","","23","","849,773","3,316,160"
"Naza - On t'a dit","10","","56","","520,026","3,316,079"
"Niska - Stop","5","","17","","1,399,157","3,315,449"
"Damso - Schéma","3","1","10","","1,866,659","3,312,406"
"Favé - Tsunami","7","","126","","539,973","3,310,272"
"PLK - Porte d'Orléans","4","","21","","1,349,844","3,308,161"
"Jul - Ténébreux","5","","23","","1,125,421","3,302,946"
"Bruno Mars - Finesse - Remix; feat. Cardi B","11","","49","","393,298","3,301,985"
"Martin Solveig - My Love","12","","84","","335,989","3,301,785"
"TRIANGLE DES BERMUDES - Mame","7","","116","","563,289","3,297,428"
"Laylow - 10'","9","","77","","484,595","3,297,138"
"menace Santana - Mauvais oeil !","9","","98","","446,451","3,294,114"
"Gambi - LOCO LOCO","4","","40","","1,186,786","3,291,378"
"Kali Uchis - telepatía","9","","99","","448,587","3,290,880"
"PLK - Toutes générations","5","","20","","1,312,471","3,286,373"
"Royce - Catalina","9","","84","","460,845","3,283,646"
"Drake - Don’t Matter To Me","7","1","9","","1,055,296","3,281,113"
"SCH - Plus rien à se dire","4","","17","","1,825,704","3,277,674"
"Ninho - Yo moko oyebi","4","1","8","","1,663,258","3,274,280"
"YL - Nina","9","","49","","521,515","3,271,480"
"SDM - SEQUOIA","4","","48","","1,143,463","3,269,973"
"Keen' V - Tahiti","10","","122","","347,459","3,269,169"
"Bouss - Invisible","7","","133","","523,788","3,268,619"
"Gambi - Oulalah","9","","66","","533,495","3,268,034"
"Shay - Thibaut Courtois","17","","75","","243,806","3,264,522"
"Arcane - To Ashes and Blood - from the series Arcane League of Legends","5","","50","","898,652","3,264,231"
"Guy2Bezbar - DIS-MOI","6","","35","","755,828","3,263,724"
"Booba - L'olivier","4","","12","","1,895,341","3,262,208"
"Jul - C'est pas la mairie","7","","56","","703,307","3,261,211"
"Fresh - Kobe","6","","46","","689,970","3,258,580"
"GIMS - Mi Gna - Maître Gims Remix","9","","26","","541,434","3,258,545"
"Cappuccino - Wa zebi","5","","68","","844,338","3,256,848"
"Freeze corleone - Lamborghini bénie","4","","20","","1,321,351","3,255,038"
"Maes - Velar","5","","12","","1,238,956","3,254,304"
"Ninho - Chiraq","4","","12","","1,512,001","3,253,617"
"Hatik - mer","6","","40","","680,378","3,253,393"
"Robin Schulz - Headlights","28","","23","","175,374","3,250,649"
"Ashe - Moral of the Story","8","","83","","490,451","3,250,303"
"Lomepal - Dave Grohl","8","","20","","900,213","3,248,196"
"GIMS - Laissez passer - Pilule Bleue","28","","18","","217,609","3,248,157"
"Zkr - Freestyle 5min #11","9","","47","","703,892","3,244,583"
"GIMS - Miami Vice","10","","78","","460,930","3,240,747"
"Deen Burbigo - Tu rêves","19","","77","","264,769","3,240,226"
"Damso - Ι. Peur d'être père","11","","15","","738,354","3,237,049"
"SCH - Magnum","4","1","7","","1,502,383","3,235,624"
"Kygo - Happy Now","12","","116","","304,930","3,234,184"
"Shawn Mendes - If I Can't Have You","9","","82","","409,844","3,234,037"
"Kaaris - Kébra","11","","29","","572,450","3,231,761"
"Aya Nakamura - Soirée parisienne","7","","110","","511,690","3,231,214"
"Gazo - QUE DES FAITS","4","","28","","1,061,284","3,230,457"
"Charlie Puth - One Call Away","21","","39","","224,189","3,229,060"
"Koba LaD - Suge","7","","12","","1,099,142","3,226,781"
"Djadja & Dinaz - C63","10","","53","","461,784","3,226,218"
"Kungs - Lipstick","9","","114","","379,740","3,225,538"
"Booba - Dragon","8","","40","","887,827","3,225,133"
"Vald - La faux le fer","4","1","7","","1,613,676","3,221,000"
"Mariah Carey - Christmas (Baby Please Come Home)","4","","49","","968,951","3,218,705"
"Angèle - Taxi","6","","46","","967,251","3,218,449"
"XXXTENTACION - Look At Me!","12","","59","","490,595","3,215,008"
"Mastu - Balade à deux","8","","90","","489,813","3,210,656"
"Niro - Sors de ma tête","16","","84","","245,297","3,210,241"
"Damso - Limbisa ngai","3","","11","","1,802,974","3,208,620"
"Lomepal - Ma cousin","8","","21","","863,306","3,206,553"
"Cris Cab - Liar Liar","57","1","9","","124,047","3,206,444"
"Youssef Swatt's - Générique de Fin - Nouvelle École","4","","46","","940,242","3,205,105"
"Childish Gambino - This Is America","9","","22","","588,895","3,201,813"
"Vald - Pandémie","4","1","6","","1,642,760","3,199,766"
"David Guetta - Lovers on the Sun","37","1","10","","137,013","3,191,477"
"Benab - Tiki Taka","10","","100","","399,947","3,191,461"
"Ninho - Bad","4","","14","","1,491,612","3,190,963"
"AM La Scampia - Maradona","12","","84","","318,380","3,190,602"
"Leto - Dans le noir","6","","21","","950,602","3,180,366"
"Ninho - Bali","4","","22","","1,468,478","3,176,157"
"Hös Copperfield - À L'AUBE","4","","28","","978,365","3,174,344"
"Jordan Adetunji - KEHLANI","7","","132","","487,940","3,173,065"
"SCH - Mort de rire","9","","24","","729,317","3,171,186"
"Fréro Delavega - Ton visage","28","","52","","153,609","3,166,381"
"Ninho - Dita","9","","13","","901,175","3,164,678"
"Jul - Irréversible","7","","33","","802,314","3,163,370"
"GIVĒON - Heartbreak Anniversary","10","","122","","363,016","3,161,879"
"Jul - Carré d'as","6","","18","","863,945","3,159,472"
"Kaaris - Tchalla","6","","39","","820,460","3,159,263"
"Vald - Possédé","8","1","5","","1,036,067","3,155,660"
"Leto - 17%","6","","17","","1,025,698","3,154,054"
"Josman - Les Flammes","5","","27","","863,704","3,153,050"
"Soso Maness - Allez","5","","44","","959,838","3,151,540"
"Vald - Papoose","4","1","8","","1,608,368","3,150,759"
"13 Organisé - Combien","5","","11","","1,359,764","3,149,965"
"Lomepal - Auburn","6","","30","","1,035,833","3,149,786"
"Sofiane - X","16","","49","","312,933","3,148,764"
"Ariana Grande - Dangerous Woman","17","","28","","270,817","3,147,146"
"KeBlack - Bababa","6","","102","","640,524","3,145,737"
"Jul - Encore des paroles","22","","23","","253,221","3,142,539"
"Mister V - Match","5","","35","","882,030","3,140,597"
"Nicky Jam - X - Remix","9","","45","","521,988","3,140,178"
"Dinos - Chrome Hearts","4","1","7","","1,374,985","3,137,659"
"Werenoi - 11.04.2025","4","","31","","1,275,292","3,135,841"
"Jul - Triste everyday","6","","83","","640,218","3,134,897"
"Fuego - Una Vaina Loca","6","","44","","673,844","3,134,793"
"Dabs - Tes rêves","7","","40","","591,865","3,133,683"
"RIDSA - Laisser couler","10","","108","","356,231","3,132,886"
"Jul - Mamasita","22","","30","","232,427","3,132,077"
"Ariana Grande - boyfriend","7","","44","","593,492","3,131,819"
"Kekra - Ingé son","4","","11","","1,352,293","3,127,412"
"Sam Smith - I'm Not The Only One","42","","31","","335,443","3,126,534"
"Drake - Signs","11","","34","","434,081","3,122,303"
"Angèle - Les matins","10","","56","","588,114","3,120,257"
"The Weeknd - Heartless","9","","69","","567,356","3,119,513"
"Damso - YOUVOI","5","","20","","1,212,787","3,117,243"
"RK - Pardon maman","8","","36","","646,617","3,116,136"
"Niska - Valise","5","","15","","1,414,896","3,113,351"
"Booba - Grain de sable","4","","15","","1,743,500","3,110,287"
"Imen Es - Fantôme","7","","32","","734,968","3,105,297"
"JRK 19 - Le Plan","6","","117","","588,917","3,102,955"
"Fousheé - Deep End","8","","78","","450,140","3,099,793"
"Billie Eilish - BLUE","5","","56","","958,827","3,099,611"
"Dalida - Vive le vent","5","","57","","898,531","3,099,468"
"Pheelz - Finesse","9","","113","","443,423","3,093,281"
"PLK - Hola","6","","22","","1,015,849","3,091,652"
"Selena Gomez - Hands To Myself","22","","41","","212,792","3,090,576"
"Naps - Purple","6","","91","","599,533","3,089,816"
"Billie Eilish - L’AMOUR DE MA VIE","5","","50","","1,005,981","3,089,115"
"Hornet La Frappe - BEDO","8","","80","","456,571","3,087,565"
"Ziak - S.P.S","6","","27","","1,072,054","3,086,236"
"Werenoi - Chaleur","5","","36","","1,152,530","3,086,115"
"Ariana Grande - Love Me Harder","32","2","9","","148,049","3,081,175"
"Major Lazer - C'est cuit","8","","74","","602,500","3,075,521"
"Dante Klein - Let Me Hold You (Turn Me On)","17","","29","","336,612","3,073,248"
"Jul - Dans la légende","20","","14","","282,975","3,072,594"
"Timal - Vatos","15","","73","","260,484","3,072,359"
