"Pos","Artist and Title","Popularity"
"156","Jason Derulo - Wiggle (feat. Snoop Dogg)","0.18883"
"157","Soprano - Roule","0.18781"
"158","Matt Simons - Catch & Release (Deepend Remix Extended Version)","0.18745"
"159","Robin Schulz - Sugar (feat. Francesco Yates)","0.18691"
"160","Louane - Avenir (Radio Edit)","0.18653"
"161","Calvin Harris & Disciples - How Deep Is Your Love","0.18645"
"162","Martin Garrix - Animals","0.18537"
"163","Maître Gims - Est-ce que tu m'aimes ?","0.18474"
"164","Vitaa - Game Over (feat. Maître Gims)","0.18438"
"165","Lukas Graham - 7 Years","0.18397"
"166","Jabberwocky - Photomaton (feat. Elodie Wildstars)","0.18325"
"167","Deorro - Bailar (feat. Elvis Crespo)","0.18322"
"168","Rihanna and Kanye West and Paul McCartney - FourFiveSec...","0.18317"
"169","Justin Bieber - Sorry","0.18202"
"170","The Prince Karma - Later Bitches","0.18077"
"171","Martin Solveig - All Stars (feat. Alma)","0.18021"
"172","Eminem - The Monster (feat. Rihanna)","0.17993"
"173","Drake - God's Plan","0.17957"
"174","Burak Yeter - Tuesday (feat. Danelle Sandoval)","0.17887"
"175","Kungs - I Feel So Bad (feat. Ephemerals)","0.17881"
"176","Kendji Girac - Color Gitano","0.17863"
"177","Dadju - Jaloux","0.17852"
"178","Dadju - Bob Marley","0.17764"
"179","John Newman - Love Me Again","0.17600"
"180","Taylor Swift - Shake It Off","0.17457"
"181","Jason Derulo - Talk Dirty (feat. 2 Chainz)","0.17214"
"182","DJ Khaled - Wild Thoughts (feat. Rihanna & Bryson Tiller)","0.17147"
"183","Calogero - Un jour au mauvais endroit","0.17019"
"184","Michael Jackson & Justin Timberlake - Love Never Felt S...","0.16970"
"185","David Guetta - This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016™]","0.16938"
"186","Justin Bieber - What Do You Mean?","0.16828"
"187","The Avener - Fade Out Lines","0.16726"
"188","Kendji Girac - Pour oublier","0.16707"
"189","Faul & Wad Ad & Pnau - Changes","0.16684"
"190","Dadju - Reine","0.16668"
"191","George Ezra - Shotgun","0.16630"
"192","Maître Gims - Caméléon","0.16422"
"193","Katy Perry - Dark Horse (feat. Juicy J)","0.16243"
"194","Maître Gims & Super Sako - Mi Gna (feat. Hayko) [Maître Gims Remix]","0.16197"
"195","Robin Thicke - Blurred Lines (feat. T.I. & Pharrell)","0.16187"
"196","Jax Jones - You Don't Know Me (feat. RAYE)","0.16074"
"197","Imagine Dragons - Demons","0.16044"
"198","Meghan Trainor - All About That Bass","0.16004"
"199","Felix Jaehn - Ain't Nobody (Loves Me Better) [feat. Jas...","0.15980"
"200","Ava Max - Sweet but Psycho","0.15959"
"201","Louane - On était beau","0.15951"
"202","Tove Lo - Habits (Stay High) [Hippie Sabotage Remix]","0.15925"
"203","Calvin Harris, Rag’n’Bone Man - Giant","0.15768"
"204","Møme - Aloha (feat. Merryn Jeann)","0.15766"
"205","Ellie Goulding - Love Me Like You Do (From The ""Fifty S...","0.15748"
"206","Loïc Nottet - Million Eyes","0.15724"
"207","Magic System - Magic In The Air (feat.Chawki)","0.15658"
"208","The Weeknd - Can't Feel My Face","0.15651"
"209","Soprano - Fresh Prince (feat. Uncle Phil)","0.15565"
"210","Post Malone - rockstar (feat. 21 Savage)","0.15561"
"211","French Montana - Unforgettable (feat. Swae Lee)","0.15548"
"212","Dennis Lloyd - Nevermind","0.15520"
"213","David Guetta - Lovers on the Sun (feat. Sam Martin)","0.15449"
"214","Sia - Cheap Thrills (feat. Sean Paul)","0.15385"
"215","Ed Sheeran - Sing","0.15283"
"216","Beyoncé - Drunk in Love (feat. Jay Z)","0.15263"
"217","Kungs & Cookin' On 3 Burners - This Girl (Kungs Vs. Cookin' On 3 Burners)","0.15262"
"218","Lost Frequencies - Reality (feat. Janieck Devy) [Radio Edit]","0.15228"
"219","Julia Michaels - Issues","0.15227"
"220","DVBBS & Borgeous - Tsunami","0.15048"
"221","Soprano - En feu","0.14904"
"222","Rebel - Black Pearl (He's a Pirate) [Radio Edit]","0.14812"
"223","Ødyssey - Fly (feat. Amara Abonta)","0.14745"
"224","Imagine Dragons - Whatever It Takes","0.14740"
