"Video","Views","Yesterday"
"Dr. Dre - Still D.R.E. ft. Snoop Dogg","1,701,390,659","375,448"
"One Direction - What Makes You Beautiful (Official Video)","1,700,034,406","302,404"
"Don Omar - Danza Kuduro ft. Lucenzo","1,697,110,707","320,353"
"PULCINO PIO - El Pollito Pio (Official video)","1,696,313,410","161,838"
"Drake - God's Plan","1,693,432,745","226,692"
"Anuel AA, KAROL G - Secreto","1,690,146,691","379,081"
"BAD BUNNY x DRAKE - MÍA (Video Oficial)","1,687,963,851","314,854"
"Cyndi Lauper - Girls Just Want To Have Fun (Official Video)","1,686,457,644","592,635"
"22. Hasta el Amanecer - Nicky Jam | Video Oficial","1,684,425,171","147,699"
"Taylor Swift - Bad Blood ft. Kendrick Lamar","1,682,664,594","75,165"
"Christian Nodal - Adiós Amor (Video Oficial)","1,671,582,044","260,122"
"Ellie Goulding - Burn (Official Video)","1,665,515,365","175,040"
"The Police - Every Breath You Take (Official Music Video)","1,659,018,503","678,199"
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)","1,658,498,992","1,526,318"
"BTS (방탄소년단) 'DNA' Official MV","1,657,709,271","123,611"
"twenty one pilots - Ride (Official Video)","1,656,723,616","238,516"
"6ix9ine - BEBE ft. Anuel AA","1,640,577,202","201,400"
"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018","1,638,216,679","127,694"
"KAROL G, Nicki Minaj - Tusa (Official Video)","1,635,195,869","199,143"
"LP - Lost On You (Live)","1,634,262,215","443,232"
"Thalia, NATTI NATASHA - No Me Acuerdo (Official Video)","1,631,909,804","172,854"
"Metallica: Nothing Else Matters (Official Music Video)","1,629,366,744","482,756"
"Prince Royce - Darte un Beso (Official Video)","1,604,776,092","242,054"
"Akon - Smack That (Official Music Video) ft. Eminem","1,602,770,667","667,380"
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox","1,602,123,813","137,763"
"Melendi - Destino o Casualidad ft. Ha*Ash","1,599,490,700","425,424"
"Bon Jovi - It's My Life (Official Music Video)","1,590,286,277","338,063"
"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)","1,586,289,735","164,936"
"Ariana Grande - 7 rings (Official Video)","1,583,360,157","255,586"
"Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video)","1,581,092,329","115,930"
"Sam Smith - Too Good At Goodbyes","1,579,631,452","125,679"
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole","1,572,494,534","221,837"
"BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV","1,567,854,765","251,777"
"Taylor Swift - Look What You Made Me Do","1,566,270,879","96,866"
"AronChupa, Little Sis Nora - I'm an Albatraoz | OFFICIAL VIDEO","1,565,708,051","157,207"
"Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video)","1,562,448,813","300,914"
"Katy Perry - Firework (Official Music Video)","1,560,779,463","151,587"
"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka","1,557,725,262","312,937"
"Imagine Dragons - Radioactive","1,556,879,984","147,192"
"Eminem - Rap God (Explicit)","1,555,823,392","183,790"
"Chris Brown - Loyal (Official Video) ft. Lil Wayne, Tyga","1,552,886,150","392,692"
"System Of A Down - Chop Suey! (Official HD Video)","1,551,205,954","373,890"
"George Michael - Careless Whisper (Official Video)","1,547,383,733","509,401"
"Bruno Mars - When I Was Your Man (Official Music Video)","1,544,938,899","291,025"
"Harry Styles - Sign of the Times (Official Video)","1,534,828,815","575,366"
"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay","1,533,049,924","190,460"
"Pharrell Williams - Happy (Official Video)","1,528,996,403","370,256"
"Sean Kingston - Beautiful Girls (Official HD Video)","1,528,026,988","376,349"
"The Weeknd - Can't Feel My Face (Official Video)","1,526,867,692","228,070"
"Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís","1,524,580,117","292,854"
"BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V","1,516,084,893","206,021"
"21. El Perdón - Nicky Jam y Enrique Iglesias  (Official Music Video YTMAs)","1,509,811,790","195,535"
"Paulo Londra - Adan y Eva (Official Video)","1,507,208,529","286,043"
"Audioslave - Like a Stone (Official Video)","1,506,835,994","466,486"
"KAROL G, Shakira - TQG (Official Video)","1,503,145,200","437,651"
"Ed Sheeran - Photograph (Official Music Video)","1,502,030,452","236,539"
"Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial]","1,501,473,727","67,780"
"El Amante - Nicky Jam | Video Oficial","1,501,258,914","73,734"
"Rihanna - Work (Explicit) ft. Drake","1,499,279,053","241,248"
"Alan Walker - Alone","1,495,618,896","216,057"
"Auli'i Cravalho - How Far I'll Go (from Moana/Official Video)","1,495,504,143","257,741"
"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel","1,495,025,514","140,674"
"Eminem - Mockingbird [Official Music Video]","1,492,313,687","916,432"
"Ricardo Arjona - Fuiste tú feat. Gaby Moreno (Video Oficial)","1,491,415,796","285,287"
"CantaJuego - El Baile del Gorila","1,491,181,835","544,581"
"Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial)","1,490,397,688","279,092"
